date,strategy,cost_bps,gross_return,net_return,turnover,wealth,drawdown
2024-08-31,inverse_forecast_vol,50,-0.07249049629511735,-0.07266655658135601,0.03796409320559102,1.307824509337109,-0.08192807910869415
2024-09-30,inverse_forecast_vol,50,-4.7095556466852234e-05,-0.000691884521404007,0.12896386661248682,1.306919645802386,-0.08256327886029446
2024-10-31,inverse_forecast_vol,50,-0.09716882456876666,-0.0977230110680638,0.12276636305396288,1.1792035227905693,-0.17221795771447812
2024-11-30,inverse_forecast_vol,50,0.1023148086643055,0.10186399852005534,0.08179335716198816,1.299321908690952,-0.08789676898417731
2024-12-31,inverse_forecast_vol,50,0.024742044016243303,0.024379598747895415,0.07073883041381218,1.330998855469187,-0.06566005819535259
2024-01-31,equal_weight,0,0.10756617241821159,0.10756617241821154,1.0,1.1075661724182115,0.0
2024-02-29,equal_weight,0,0.08475968178686875,0.08475968178686877,0.009360664395395457,1.2014431287502794,0.0
2024-03-31,equal_weight,0,0.029691097058790798,0.029691097058790694,0.03094734202345717,1.2371152932966212,0.0
2024-04-30,equal_weight,0,0.1356749615801921,0.1356749615801922,0.0605820689253988,1.4049608631849084,0.0
2024-05-31,equal_weight,0,0.046616671922036154,0.046616671922036224,0.07534524280624005,1.4704554628073,0.0
2024-06-30,equal_weight,0,0.00776061815807565,0.007760618158075605,0.07327286294426455,1.4818671061726039,0.0
2024-07-31,equal_weight,0,-0.0144449709521188,-0.01444497095211883,0.003273822844424623,1.4604615788690403,-0.01444497095211883
2024-08-31,equal_weight,0,-0.06970728750795535,-0.0697072875079554,0.02126963080659705,1.3586567636964937,-0.08314533871687069
2024-09-30,equal_weight,0,0.0064911484526412495,0.0064911484526413155,0.010334046732117519,1.367476006445833,-0.07719389900098572
2024-10-31,equal_weight,0,-0.10950189114099645,-0.1095018911409964,0.04300767773682379,1.2177347976500768,-0.1782429122168272
2024-11-30,equal_weight,0,0.11405683146451635,0.11405683146451628,0.05982310092691745,1.3566257702341284,-0.08451590255077002
2024-12-31,equal_weight,0,0.02586694025227715,0.025866940252277093,0.05127404945996278,1.391717527977474,-0.060835130100140966
2024-01-31,equal_weight,10,0.10756617241821159,0.10645860624579329,1.0,1.1064586062457933,0.0
2024-02-29,equal_weight,10,0.08475968178686875,0.0847495277155379,0.009360664395395457,1.2002304505619166,0.0
2024-03-31,equal_weight,10,0.029691097058790798,0.029659230856231567,0.03094734202345717,1.2358283625758113,0.0
2024-04-30,equal_weight,10,0.1356749615801921,0.13560616004139292,0.0605820689253988,1.4034143012949594,0.0
2024-05-31,equal_weight,10,0.046616671922036154,0.046537814334765226,0.07534524280624005,1.4687261354833785,0.0
2024-06-30,equal_weight,10,0.00776061815807565,0.007686776652420679,0.07327286294426455,1.4800159052504123,0.0
2024-07-31,equal_weight,10,-0.0144449709521188,-0.014448197484687286,0.003273822844424623,1.458632343170876,-0.014448197484687286
2024-08-31,equal_weight,10,-0.06970728750795535,-0.0697270744904922,0.02126963080659705,1.3569261771243593,-0.08316784143291134
